"Categorie";"Champ spécifique";"Nom Web Service"
"Hygiène et Beauté";"Type";"type_1"
"Hygiène et Beauté";"Etat 2";"etat"
"Hygiène et Beauté";"Couleur";"couleur"
"Hygiène et Beauté";"Sexe";"sexe"
"Hygiène et Beauté";"Marque";"marque"
"Hygiène et Beauté";"Categorie";"categorie"
"Hygiène et Beauté";"Domaine d'utilisation";"domaine_utilisation"
"Hygiène et Beauté";"Theme";"theme"
"Hygiène et Beauté";"Sous-type";"sous_type"
"Hygiène et Beauté";"Gamme";"gamme"
"Hygiène et Beauté";"Application";"application"
"Hygiène et Beauté";"Contenance";"contenance"
"Hygiène et Beauté";"Effet";"effet"
"Hygiène et Beauté";"Proprietes";"proprietes"
"Hygiène et Beauté";"Texture";"texture"
"Hygiène et Beauté";"Usage";"usage"
"Hygiène et Beauté";"Courbure de base (CB) de la lentille (unite de mesure)";"courbure_base_cb_lentille_unite_mesure"
"Hygiène et Beauté";"Diametre de la lentille";"diametre_lentille"
"Hygiène et Beauté";"Diametre de la lentille (unite de mesure)";"diametre_lentille_unite_mesure"
"Hygiène et Beauté";"Code CIP (pharmacie)";"code_cip_pharmacie"
"Hygiène et Beauté";"Type de lentille";"type_lentille"
"Hygiène et Beauté";"Sexe cible";"sexe_cible"
"Hygiène et Beauté";"Adaptateur secteur inclus";"adaptateur_secteur_inclus"
"Hygiène et Beauté";"Sources d'alimentation";"sources_alimentation"
"Hygiène et Beauté";"Ingredients";"ingredients"
"Hygiène et Beauté";"Reserve aux adultes";"reserve_aux_adultes"
"Hygiène et Beauté";"Longueur article";"longueur_article"
"Hygiène et Beauté";"Conseils d'utilisation ou d'application";"conseils_utilisation_ou_application"
"Hygiène et Beauté";"Indications particulieres";"indications_particulieres"
"Hygiène et Beauté";"Avertissements de securite";"avertissements_securite"
"Hygiène et Beauté";"Materiau du contenant (emballage)";"materiau_contenant_emballage"
"Hygiène et Beauté";"Nombre d'articles inclus (lot)";"nombre_articles_inclus_lot"
"Hygiène et Beauté";"Nombre d'articles inclus (contenance)";"nombre_articles_inclus_contenance"
"Hygiène et Beauté";"Pays d'origine";"pays_origine"
"Hygiène et Beauté";"Degre de protection ou de correction";"degre_protection_ou_correction"
"Hygiène et Beauté";"Conditionnement";"conditionnement"
"Hygiène et Beauté";"Apparence exterieure apres application";"apparence_exterieure_apres_application"
"Hygiène et Beauté";"Type de cheveu";"type_cheveu"
"Hygiène et Beauté";"Caracteristiques specifiques";"caracteristiques_specifiques"
"Hygiène et Beauté";"Type de peau";"type_peau"
"Hygiène et Beauté";"Parfum (gout)";"parfum_gout"
"Hygiène et Beauté";"Public";"public"
"Hygiène et Beauté";"Teint de peau ";"teint_peau"
"Hygiène et Beauté";"Volume article";"volume_article"
"Hygiène et Beauté";"Poids article";"poids_article"
"Hygiène et Beauté";"Longueur article (unite de mesure)";"longueur_article_unite_mesure"
"Hygiène et Beauté";"Volume article (unite de mesure)";"volume_article_unite_mesure"
"Hygiène et Beauté";"Poids article (unite de mesure)";"poids_article_unite_mesure"
"Hygiène et Beauté";"Poids Colis";"poids_colis"
"Hygiène et Beauté";"Poids Colis (unite de mesure)";"poids_colis_unite_mesure"
"Hygiène et Beauté";"Duree de vie de la lentille";"duree_vie_lentille"
"Hygiène et Beauté";"Duree de vie de la lentille (unite de mesure)";"duree_vie_lentille_unite_mesure"
"Hygiène et Beauté";"courbure de base (CB) de la lentille";"courbure_base_cb_lentille"
